ntaxa-100.dlrate-0.0000000001.psize-10000000,ntaxa-100.dlrate-0.0000000001.psize-50000000,ntaxa-100.dlrate-0.0000000002.psize-10000000,ntaxa-100.dlrate-0.0000000002.psize-50000000,ntaxa-100.dlrate-0.0000000005.psize-10000000,ntaxa-100.dlrate-0.0000000005.psize-50000000,ntaxa-100.dlrate-0.0.psize-10000000,ntaxa-100.dlrate-0.0.psize-50000000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.010309278350515464,0.0,0.020618556701030927,0.0,0.020618556701030927,0.010309278350515464,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010309278350515464
0.0,0.0,0.0,0.010309278350515464,0.010309278350515464,0.0,0.010309278350515464,0.0
0.0,0.0,0.010309278350515464,0.0,0.0,0.0,0.0,0.010309278350515464
0.010309278350515464,0.010309278350515464,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.020618556701030927,0.0,0.010309278350515464,0.0,0.0,0.0,0.0
0.0,0.010309278350515464,0.0,0.0,0.0,0.0,0.0,0.010309278350515464
0.0,0.0,0.0,0.0,0.0,0.010309278350515464,0.0,0.010309278350515464
